force_low,force_medium,force_high,,,,
0.716,1.128,0.922,,,,
0.412,0.608,0.412,,,,
1.304,0.343,1.177,,,,
0.01,0.667,0.637,,,,
0.147,0.382,0.255,,,,
0.196,0.441,0.137,,,,
0.294,0.579,0.559,,,,
0.579,0.206,0.696,,,,
0.029,0.118,0.029,,,,
0.471,0.118,0.049,,,,
0.01,0.696,0.265,,,,
0.373,0.216,0.216,,,,
1.069,0.804,0.981,,,,
0.078,0.324,1.765,,,,
1.363,0.99,7.403,,,,
0.294,0.834,8.04,,,,
0.01,0.343,10.1,,,,
0.461,1.785,12.1,,,,
0.333,2.589,10.169,,,,
0.294,2.952,11.512,,,,
0.137,1.324,9.59,,,,
0.265,3.04,9.041,,,,
0.039,3.246,12.905,,,,
0.01,3.717,11.855,,,,
0.912,3.766,11.61,,,,
0.559,4.158,13.326,,,,
0.569,1.314,11.404,,,,
0.49,0.863,8.747,,,,
0.01,3.746,14.091,,,,
0.363,2.765,10.659,,,,
0.206,4.099,10.639,,,,
0.245,3.383,9.266,,,,
0.147,4.825,10.992,,,,
0.412,4.109,12.846,,,,
1.187,2.805,11.139,,,,
1.51,5.011,8.148,,,,
0.216,3.462,11.277,,,,
0.108,5.354,6.099,,,,
0.01,2.736,12.65,,,,
1.412,2.981,10.58,,,,
0.373,4.982,8.443,,,,
0.127,2.265,11.012,,,,
0.559,6.021,7.413,,,,
0.422,2.883,6.972,,,,
0.01,3.491,15.268,,,,
0.284,3.266,12.463,,,,
1.236,2.187,11.708,,,,
0.598,3.893,10.345,,,,
0.49,3.207,9.482,,,,
1.844,6.394,13.679,,,,
1.716,6.855,6.942,,,,
1.608,2.658,6.011,,,,
2.667,4.55,12.483,,,,
0.981,4.021,1.746,,,,
2.246,4.413,6.893,,,,
0.471,6.992,11.149,,,,
1.196,3.011,10.963,,,,
0.814,6.257,1.167,,,,
2.275,2.971,10.09,,,,
1.952,3.923,0.363,,,,
2.363,6.257,9.972,,,,
3.089,0.235,10.561,,,,
0.539,3.991,0.579,,,,
2.461,6.619,7.746,,,,
0.951,3.589,1.755,,,,
0.559,5.806,6.109,,,,
2.265,3.57,6.118,,,,
2.491,2.952,7.177,,,,
1,5.609,8.119,,,,
1.795,2.177,6.932,,,,
2.932,3.177,2.197,,,,
0.941,1.687,0.177,,,,
1.412,2.403,2.422,,,,
0.51,3.226,7.815,,,,
2.756,4.531,0.971,,,,
1.422,0.363,0.657,,,,
2.775,0.824,2.422,,,,
1.922,1.481,2.089,,,,
0.785,2.893,0.49,,,,
0,4.462,0.137,,,,
2.873,1.344,0.118,,,,
1.54,2.001,1.559,,,,
0.981,3.795,1.216,,,,
2.461,2.069,1.657,,,,
2.363,2.373,0.049,,,,
2.059,0.078,0.598,,,,
1.52,3.02,0.814,,,,
0.637,2.716,1.049,,,,
0.431,0.628,1.785,,,,
0.951,0.765,0.275,,,,
0.314,0.971,0.294,,,,
0.157,1.598,1.147,,,,
0.235,0.118,0.5,,,,
0.667,1.265,1.089,,,,
0.441,0.098,0.039,,,,
1.334,0.5,0.53,,,,
0.608,0.647,0.873,,,,
2.511,0.647,0.598,,,,
0.834,1.451,0.598,,,,
1.765,0.382,0.628,,,,
2.971,0.785,0.824,,,,
1.314,0.01,1.363,,,,
0.971,0.53,0.892,,,,
0.932,0.314,0.51,,,,
1.952,0.402,0.549,,,,
2.216,0.098,0.824,,,,
2.432,0.029,0.628,,,,
0.824,0,0.863,,,,
1.863,0.147,0.569,,,,
0.981,0,1.226,,,,
1.971,0.941,0.618,,,,
1.334,0.01,0.078,,,,
1.804,0.824,1.079,,,,
1.422,0.785,1.285,,,,
1.824,1.167,0.226,,,,
0.461,1.687,1.883,,,,
1.54,2.344,6.275,,,,
1.059,1.697,7.442,,,,
0.686,2.569,9.002,,,,
2.275,2.53,11.679,,,,
0.137,3.834,10.335,,,,
2.432,2.432,13.356,,,,
0.579,3.785,14.336,,,,
1.902,1.569,8.884,,,,
0.735,1.451,11.532,,,,
1.324,2.305,10.159,,,,
1.03,2.432,8.482,,,,
0.559,4.197,13.571,,,,
0.226,4.031,15.346,,,,
0.402,3.334,10.561,,,,
0.216,0.804,17.141,,,,
0.677,3.648,13.954,,,,
3.952,3.913,8.913,,,,
0.667,3.109,11.345,,,,
2.197,4.57,10.07,,,,
0.157,1.775,7.285,,,,
0.588,2.461,12.865,,,,
1.01,1.726,11.022,,,,
0.078,2.265,8.57,,,,
0.53,5.551,11.561,,,,
1.069,4.668,8.766,,,,
0.284,4.119,11.649,,,,
0.461,3.334,13.356,,,,
0.402,3.648,10.1,,,,
1.402,4.452,11.532,,,,
1.5,5.423,11.904,,,,
2.236,3.972,6.707,,,,
1.912,2.305,13.169,,,,
2.305,4.364,10.924,,,,
0.794,4.648,11.571,,,,
1.451,4.099,12.493,,,,
1.834,4.217,7.982,,,,
2.354,3.275,8.021,,,,
1.196,7.424,16.2,,,,
1.736,4.384,15.533,,,,
1.961,4.168,8.305,,,,
0.481,6.041,8.884,,,,
2.206,1.814,8.913,,,,
2.246,7.198,7.011,,,,
2.893,3.736,11.414,,,,
0.177,7.247,10.002,,,,
1.451,1.167,12.757,,,,
1.785,6.061,8.688,,,,
2.285,6.708,2.05,,,,
2.275,5.207,0.824,,,,
0.814,5.492,6.285,,,,
1.128,3.197,1.853,,,,
1.598,2.52,8.864,,,,
1.716,4.06,1.736,,,,
1.814,6.011,9.384,,,,
1.314,1.961,2.099,,,,
1.098,0.275,1.736,,,,
2.658,4.844,2.089,,,,
0.441,2.589,2.059,,,,
0.726,2.403,0.5,,,,
1.265,2.952,1.206,,,,
2.511,1.785,0.324,,,,
0.863,3.668,0.735,,,,
0.598,0.873,0.794,,,,
5.198,3.844,1.961,,,,
3.776,1.716,0.932,,,,
0.981,4.511,1.098,,,,
0.422,4.178,1.893,,,,
0.069,1.206,0.441,,,,
0.647,1.549,0.461,,,,
1.049,1.412,0.981,,,,
1.167,2.04,0.686,,,,
0.108,1.755,0.951,,,,
0.098,2.667,0.49,,,,
0.059,6.266,0.971,,,,
0.755,0.53,1.746,,,,
0.353,1.118,0.53,,,,
0.265,0.892,1.245,,,,
1.334,1.079,0.059,,,,
1.932,0.235,1.226,,,,
1.285,0.873,0.314,,,,
2.148,0.02,0.843,,,,
1.834,0.608,0.549,,,,
2.481,0.951,0.127,,,,
0.814,0.186,0.088,,,,
0.098,0.314,1.285,,,,
0.373,0.127,0.147,,,,
1.324,0.745,1.52,,,,
2.089,0.029,0.932,,,,
0.039,0.108,0.157,,,,
1.824,0.216,0.667,,,,
0.873,0.5,0.294,,,,
1.275,0.441,0.726,,,,
1.049,0.157,0.618,,,,
3.158,0.481,0.314,,,,
0.657,0.069,0.794,,,,
2.285,0.127,0.716,,,,
2.334,0.01,0.598,,,,
0.088,0.02,1.157,,,,
1.481,0.951,0.657,,,,
2.432,1.971,0.402,,,,
0.363,1.216,0.559,,,,
1.373,2.834,1.275,,,,
1.245,1.491,6.638,,,,
1.736,3.138,8.639,,,,
0.902,1.746,7.187,,,,
1.461,3.53,11.424,,,,
0.441,2.834,9.521,,,,
2.432,3.001,12.14,,,,
0.382,2.756,12.708,,,,
1.03,3.903,10.58,,,,
0.078,2.579,10.257,,,,
3.158,2.873,9.443,,,,
2.363,2.461,11.885,,,,
1.971,2.03,12.532,,,,
1.579,4.001,13.346,,,,
0.686,3.226,8.001,,,,
0.078,4.746,6.962,,,,
1.196,1.981,9.08,,,,
0.608,2.893,13.356,,,,
0.353,5.227,13.66,,,,
0.324,3.883,11.689,,,,
0.304,4.629,14.032,,,,
0.196,2.403,10.453,,,,
0.275,3.236,13.836,,,,
0.912,3.893,11.286,,,,
1.206,5.354,12.787,,,,
3.099,5.953,8.884,,,,
2.491,3.383,14.052,,,,
2.285,4.403,12.826,,,,
2.726,3.628,10.129,,,,
0.794,6.365,10.149,,,,
1.373,6.217,8.482,,,,
2.197,2.589,7.177,,,,
1.216,6.649,13.258,,,,
2.265,3.717,7.687,,,,
2.707,4.629,13.434,,,,
1.716,2.638,13.032,,,,
1.245,4.903,7.413,,,,
1.334,5.972,11.953,,,,
0.029,3.168,13.003,,,,
0.549,4.011,7.727,,,,
2.118,7.198,14.032,,,,
0.941,1.451,13.571,,,,
2.677,3.981,7.658,,,,
1.618,4.227,9.355,,,,
2.481,4.07,6.226,,,,
1.804,6.463,0.304,,,,
1.755,0.775,11.61,,,,
2.314,5.59,12.65,,,,
1.412,2.511,8.943,,,,
2.079,3.266,6.413,,,,
2.501,5.923,1.51,,,,
0.196,3.942,7.432,,,,
1.157,2.128,1.5,,,,
2.246,4.04,9.541,,,,
0.951,2.236,0.853,,,,
3.746,4.413,8.619,,,,
0.108,0.539,8.001,,,,
1.952,3.57,2.403,,,,
0.069,0.951,0.716,,,,
1.422,3.521,0.618,,,,
1.108,0.275,7.128,,,,
1.736,1.216,6.246,,,,
0.118,3.923,0.471,,,,
1.402,3.148,1.01,,,,
0.951,3.295,0.902,,,,
0.843,2.334,1.638,,,,
0.177,2.56,0.961,,,,
0.657,0.098,1.265,,,,
0.127,2.658,1.402,,,,
0.02,0.392,2.206,,,,
0.853,3.069,0.559,,,,
0.02,2.265,1.245,,,,
0.167,1.128,1.03,,,,
0.451,0.392,0.343,,,,
0.137,1.834,1.108,,,,
1.03,1.098,0.726,,,,
0.059,0.333,0.353,,,,
0.971,0.873,0.353,,,,
0.539,1.049,1.138,,,,
0.284,0.235,0.098,,,,
1.079,0.108,1.422,,,,
0.647,0.686,1.402,,,,
0.716,0.01,0.333,,,,
0.324,0.049,0.51,,,,
0.137,0.137,0.892,,,,
0.657,0.088,0.422,,,,
0.226,0.049,1.138,,,,
0.539,0.039,1.687,,,,
1.147,0.461,1.089,,,,
0.5,0.206,0.951,,Max_Low_Force,5.198,N
,,,,Max_Medium_Force,7.424,N
,,,,Max_High_Force,17.141,N
