Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R
0.598,1.373,26.497,-0.847,0.272,0.048,    ,800.007,-0.006,299.990,-180.000,0.002,-105.571
0.716,1.285,26.645,-0.842,0.253,0.042,    ,800.007,-0.006,299.990,-180.000,0.002,-105.571
0.696,1.373,26.684,-0.842,0.252,0.050,    ,800.007,-0.006,299.990,-180.000,0.002,-105.571
0.579,1.255,26.821,-0.839,0.275,0.046,    ,800.007,-0.006,299.990,-180.000,0.002,-105.571
0.608,1.481,26.929,-0.845,0.268,0.042,    ,800.007,-0.006,299.990,-180.000,0.002,-105.571
0.981,3.844,27.037,-1.157,0.361,0.070,    ,800.007,-0.006,299.990,-180.000,0.002,-105.571
-0.324,2.648,24.801,-0.888,0.301,-0.149,    ,800.007,-0.007,299.989,-179.459,0.001,-105.571
0.696,3.177,25.654,-0.917,0.284,0.050,    ,800.007,-0.006,299.990,-178.492,0.002,-105.571
0.785,3.158,24.997,-0.933,0.279,0.066,    ,800.007,-0.006,299.990,-178.492,0.002,-105.571
0.677,3.020,25.046,-0.927,0.292,0.067,    ,800.007,-0.006,299.990,-178.492,0.002,-105.571
0.765,3.128,25.134,-0.927,0.288,0.067,    ,800.007,-0.006,299.990,-178.492,0.002,-105.571
1.726,3.599,23.624,-0.903,0.222,0.207,    ,800.005,-0.006,299.987,-178.492,0.763,-105.551
2.187,2.805,23.320,-0.892,0.268,0.202,    ,800.007,-0.006,299.989,-178.491,1.220,-105.539
3.638,2.913,24.977,-0.976,0.393,0.301,    ,800.005,-0.006,299.987,-178.491,2.453,-105.506
5.403,3.236,24.026,-0.953,0.403,0.314,    ,800.005,-0.006,299.987,-178.489,4.008,-105.465
6.806,2.903,24.625,-0.959,0.497,0.524,    ,800.005,-0.006,299.987,-178.485,5.646,-105.422
8.355,2.765,22.810,-0.853,0.511,0.570,    ,800.005,-0.006,299.987,-178.481,6.869,-105.389
10.287,2.491,25.644,-0.992,0.684,0.590,    ,800.007,-0.006,299.990,-178.475,8.349,-105.350
9.885,2.962,24.193,-0.899,0.648,0.593,    ,800.007,-0.006,299.990,-178.475,8.359,-105.349
9.748,3.128,23.948,-0.912,0.643,0.612,    ,800.007,-0.006,299.990,-178.475,8.359,-105.349
10.071,3.236,23.830,-0.910,0.632,0.613,    ,800.007,-0.006,299.990,-178.475,8.359,-105.349
10.238,3.226,23.703,-0.869,0.639,0.613,    ,800.007,-0.006,299.990,-178.475,8.359,-105.349
9.326,3.158,23.899,-0.911,0.642,0.598,    ,799.776,-2.262,299.678,-178.416,8.056,-105.278
8.895,3.413,24.252,-0.924,0.611,0.529,    ,799.247,-7.532,298.997,-178.277,7.349,-105.113
9.601,3.128,23.820,-0.898,0.639,0.578,    ,799.683,-3.181,299.554,-178.391,7.932,-105.249
11.042,2.805,23.693,-0.868,0.664,0.653,    ,800.697,6.581,300.974,-178.653,9.244,-105.561
12.709,2.403,23.212,-0.840,0.793,0.747,    ,801.958,18.126,302.958,-178.975,10.802,-105.941
13.906,2.363,22.663,-0.820,0.777,0.870,    ,803.066,27.793,304.877,-179.256,12.110,-106.269
15.730,1.765,22.379,-0.787,0.857,0.980,    ,804.227,37.489,307.042,-179.548,13.429,-106.609
17.338,1.314,21.673,-0.736,0.905,1.080,    ,805.680,49.077,309.950,-179.913,15.013,-107.029
18.397,1.314,21.271,-0.689,0.912,1.149,    ,806.912,58.474,312.571,179.778,16.305,-107.383
20.202,0.941,21.261,-0.649,1.036,1.200,    ,808.451,69.722,316.023,179.391,17.863,-107.823
21.173,1.128,20.241,-0.565,0.984,1.291,    ,809.784,79.064,319.159,179.054,19.165,-108.203
21.722,0.637,20.417,-0.592,1.041,1.331,    ,809.826,79.356,319.262,179.044,19.206,-108.215
21.604,0.471,20.368,-0.601,1.045,1.316,    ,809.826,79.356,319.262,179.044,19.206,-108.215
21.673,0.667,20.417,-0.596,1.042,1.317,    ,809.826,79.356,319.262,179.044,19.206,-108.215
21.712,0.647,20.359,-0.607,1.039,1.328,    ,809.826,79.356,319.262,179.044,19.206,-108.215
21.614,-0.284,20.574,-0.491,1.030,1.325,    ,808.882,79.506,319.226,178.918,19.185,-108.215
21.065,-0.726,21.349,-0.664,1.075,1.310,    ,787.494,82.712,318.962,176.081,18.716,-108.193
21.388,-2.707,20.251,-0.440,1.050,1.407,    ,787.451,86.051,320.126,175.893,19.156,-108.326
24.458,-3.560,19.378,-0.356,1.145,1.602,    ,790.879,108.295,328.839,175.028,22.268,-109.287
27.302,-4.187,17.799,-0.237,1.191,1.762,    ,793.921,126.528,337.111,174.243,24.868,-110.151
30.057,-4.668,16.191,-0.122,1.285,1.926,    ,797.078,144.174,346.159,173.403,27.435,-111.067
32.617,-5.099,14.641,-0.011,1.379,2.093,    ,801.058,164.810,358.153,172.300,30.511,-112.259
35.441,-6.070,12.592,0.117,1.454,2.294,    ,804.498,181.365,368.984,171.298,33.047,-113.331
37.942,-6.894,10.944,0.260,1.448,2.434,    ,808.116,197.633,380.789,170.189,35.608,-114.512
39.933,-7.237,8.610,0.419,1.539,2.525,    ,812.547,216.113,395.770,168.737,38.617,-116.045
42.610,-8.081,5.884,0.603,1.585,2.740,    ,816.299,230.627,408.869,167.416,41.068,-117.433
44.238,-8.914,4.766,0.698,1.573,2.846,    ,820.945,247.268,425.565,165.641,43.989,-119.285
46.307,-9.591,2.148,0.924,1.570,2.942,    ,824.948,260.512,440.354,163.967,46.416,-121.023
48.278,-10.199,-0.177,1.072,1.620,3.071,    ,829.790,275.253,458.698,161.734,49.244,-123.332
50.318,-11.003,-3.207,1.286,1.615,3.208,    ,833.901,286.730,474.654,159.624,51.557,-125.503
51.367,-11.493,-5.727,1.421,1.589,3.311,    ,838.097,297.500,491.283,157.233,53.833,-127.955
52.730,-12.141,-8.090,1.621,1.595,3.403,    ,843.128,309.196,511.659,153.991,56.444,-131.269
54.397,-12.964,-11.552,1.845,1.597,3.496,    ,847.364,318.042,529.180,150.885,58.535,-134.434
55.731,-13.504,-14.131,2.020,1.571,3.600,    ,851.656,326.088,547.263,147.323,60.540,-138.055
56.467,-14.494,-16.985,2.251,1.463,3.646,    ,856.759,334.465,569.196,142.451,62.754,-142.997
57.271,-14.945,-19.898,2.420,1.453,3.710,    ,861.058,340.523,588.036,137.724,64.447,-147.781
57.447,-15.318,-22.398,2.614,1.346,3.733,    ,866.142,346.500,610.745,131.307,66.203,-154.266
58.408,-16.122,-25.968,2.815,1.339,3.822,    ,870.401,350.504,630.134,125.193,67.425,-160.438
58.771,-16.956,-28.351,2.973,1.256,3.851,    ,875.410,354.014,653.369,117.157,68.509,-168.541
58.722,-17.279,-30.862,3.160,1.203,3.867,    ,878.990,355.706,670.273,110.923,69.013,-174.824
59.203,-17.750,-32.244,3.246,1.172,3.904,    ,880.494,356.209,677.453,108.206,69.150,-177.562
59.016,-17.907,-35.098,3.447,1.102,3.889,    ,885.356,356.960,700.971,99.187,69.269,173.352
58.948,-18.162,-37.510,3.569,1.043,3.912,    ,887.138,356.891,709.716,95.843,69.184,169.983
59.114,-18.809,-38.609,3.676,1.029,3.922,    ,889.413,356.525,720.982,91.593,68.973,165.701
58.791,-18.888,-39.688,3.733,0.948,3.920,    ,890.794,356.146,727.872,89.042,68.788,163.130
58.810,-18.995,-39.531,3.722,0.965,3.908,    ,890.794,356.146,727.872,89.042,68.788,163.130
58.781,-18.907,-39.560,3.728,0.952,3.901,    ,890.794,356.146,727.872,89.042,68.788,163.130
58.506,-18.682,-39.168,3.691,0.951,3.894,    ,889.245,356.563,720.142,91.907,68.993,166.017
59.046,-18.240,-35.588,3.463,1.091,3.902,    ,885.287,356.959,700.635,99.316,69.271,173.481
59.007,-17.603,-33.029,3.289,1.165,3.905,    ,881.229,356.409,680.977,106.863,69.200,-178.915
58.958,-17.250,-29.489,3.066,1.259,3.900,    ,876.298,354.498,657.540,115.645,68.656,-170.066
58.575,-16.308,-26.223,2.882,1.295,3.813,    ,872.089,351.833,637.910,122.584,67.836,-163.070
58.369,-15.887,-23.095,2.677,1.371,3.792,    ,867.010,347.391,614.672,130.116,66.473,-155.470
57.722,-15.367,-20.094,2.462,1.438,3.754,    ,862.586,342.455,594.811,135.894,65.006,-149.632
56.712,-14.818,-16.877,2.284,1.455,3.652,    ,858.290,336.728,575.867,140.837,63.377,-144.631
55.986,-14.141,-14.151,2.091,1.560,3.600,    ,853.223,328.797,553.947,145.906,61.241,-139.493
