Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R
-2.079,1.069,22.344,-0.969,-0.024,0.127,    ,848.467,-64.712,300.510,179.444,-1.725,-1.243
-2.079,1.069,22.344,-0.969,-0.024,0.127,    ,848.467,-64.712,300.510,179.444,-1.725,-1.243
-2.079,1.069,22.344,-0.969,-0.024,0.127,    ,848.467,-64.712,300.510,179.444,-1.725,-1.243
-1.932,1.020,22.864,-0.976,-0.029,0.117,    ,848.467,-64.712,300.510,179.444,-1.725,-1.243
-1.912,1.059,22.432,-0.959,-0.038,0.120,    ,848.467,-64.712,300.510,179.444,-1.725,-1.243
-1.843,0.873,22.854,-0.973,-0.033,0.119,    ,848.467,-64.712,300.510,179.444,-1.725,-1.243
-2.098,1.000,22.579,-0.964,-0.025,0.113,    ,848.467,-64.712,300.510,179.444,-1.725,-1.243
-1.981,1.157,22.227,-0.955,-0.031,0.121,    ,848.467,-64.712,300.510,179.444,-1.725,-1.243
-2.000,0.902,23.021,-0.968,-0.027,0.115,    ,848.467,-64.712,300.510,179.444,-1.725,-1.243
-1.902,0.971,22.707,-0.966,-0.030,0.121,    ,848.467,-64.712,300.510,179.444,-1.725,-1.243
-1.971,1.000,22.903,-0.971,-0.020,0.099,    ,848.467,-64.712,300.510,179.444,-1.725,-1.243
-1.981,0.902,22.472,-0.986,-0.023,0.127,    ,848.467,-64.712,300.510,179.444,-1.725,-1.243
-1.932,1.206,22.619,-0.943,-0.028,0.100,    ,848.467,-64.712,300.510,179.444,-1.725,-1.243
-1.814,0.892,22.805,-0.948,-0.014,0.122,    ,848.465,-64.712,300.507,179.595,-1.721,-1.248
-2.059,2.373,20.736,-0.981,-0.097,0.026,    ,848.460,-64.711,300.500,-179.634,-1.703,-1.271
-1.510,2.687,20.961,-0.994,-0.126,0.163,    ,848.460,-64.711,300.500,-178.686,-1.682,-1.299
-1.490,3.638,21.854,-1.070,-0.076,0.098,    ,848.460,-64.711,300.500,-178.237,-1.672,-1.312
-1.755,4.413,22.501,-1.096,-0.127,0.048,    ,848.460,-64.711,300.500,-177.306,-1.650,-1.339
-0.588,5.756,21.422,-1.167,-0.085,0.073,    ,848.460,-64.711,300.500,-176.391,-1.629,-1.365
