Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R,,W,Fy,Fz
0.598,1.579,27.076,-0.86,0.106,0.038,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.579,0
0.598,1.579,27.076,-0.86,0.106,0.038,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.579,0
0.598,1.579,27.076,-0.86,0.106,0.038,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.579,0
0.598,1.579,27.076,-0.86,0.106,0.038,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.579,0
0.647,1.589,26.674,-0.868,0.104,0.044,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.589,59.598
0.579,1.628,27.145,-0.863,0.096,0.035,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.628,60.069
0.49,1.559,27.145,-0.86,0.113,0.043,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.559,60.069
0.608,1.481,27.312,-0.863,0.1,0.038,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.481,60.236
0.549,1.657,26.968,-0.861,0.101,0.036,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.657,59.892
0.637,1.53,27.36,-0.864,0.107,0.025,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.53,60.284
0.588,1.559,27.145,-0.859,0.104,0.043,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.559,60.069
0.588,1.559,27.145,-0.859,0.104,0.043,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.559,60.069
0.677,1.706,26.988,-0.864,0.093,0.055,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.706,59.912
0.696,1.736,27.017,-0.855,0.098,0.048,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.736,59.941
0.618,1.579,26.929,-0.869,0.112,0.047,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.579,59.853
0.667,1.442,26.9,-0.86,0.098,0.045,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.442,59.824
0.686,1.569,27.429,-0.861,0.105,0.037,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.569,60.353
0.686,1.638,27.468,-0.857,0.102,0.032,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.638,60.392
0.598,1.589,27.312,-0.855,0.106,0.032,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.589,60.236
0.598,1.412,27.096,-0.863,0.106,0.044,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.412,60.02
0.549,1.618,27.292,-0.856,0.104,0.039,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.618,60.216
0.51,1.579,27.174,-0.858,0.106,0.044,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.579,60.098
0.549,1.54,26.782,-0.854,0.11,0.051,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.54,59.706
0.637,1.618,26.782,-0.843,0.108,0.035,    ,848.704,-64.74,330.727,-177.917,-0.741,179.013,,-178,1.618,59.706
0.99,1.236,28.135,-0.818,0.048,0.076,    ,848.701,-64.74,330.724,-178.076,-0.744,179.015,,-178,1.236,61.059
0.765,1.383,27.919,-0.676,0.086,-0.129,    ,848.703,-64.74,330.727,-178.518,-0.751,179.021,,-179,1.383,60.843
0.549,0.628,28.155,-0.821,0.123,0.039,    ,848.704,-64.74,330.727,-178.536,-0.752,179.021,,-179,0.628,61.079
0.99,1.187,28.047,-0.803,0.09,0.037,    ,848.701,-64.74,330.723,-178.69,-0.755,179.023,,-179,1.187,60.971
0.412,-0.226,28.832,-0.808,0.157,-0.028,    ,848.689,-64.74,330.706,-179.586,-0.773,179.035,,-180,0.226,61.756
0.53,-1.334,26.89,-0.782,0.107,0.07,    ,848.689,-64.739,330.706,179.241,-0.792,179.051,,179,1.334,59.814
