Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R,,W,Fy,Fz,,
0.598,1.579,61.076,-0.86,0.106,0.038,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.579,59.598,,95.076
0.598,1.579,61.076,-0.86,0.106,0.038,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.579,59.598,,95.076
0.598,1.579,61.076,-0.86,0.106,0.038,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.579,59.598,,95.076
0.598,1.579,61.076,-0.86,0.106,0.038,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.579,59.598,,95.076
0.647,1.589,60.674,-0.868,0.104,0.044,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.589,59.598,,94.674
0.579,1.628,61.145,-0.863,0.096,0.035,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.628,60.069,,95.145
0.49,1.559,61.145,-0.86,0.113,0.043,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.559,60.069,,95.145
0.608,1.481,61.312,-0.863,0.1,0.038,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.481,60.236,,95.312
0.549,1.657,60.968,-0.861,0.101,0.036,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.657,59.892,,94.968
0.637,1.53,61.36,-0.864,0.107,0.025,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.53,60.284,,95.36
0.588,1.559,61.145,-0.859,0.104,0.043,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.559,60.069,,95.145
0.588,1.559,61.145,-0.859,0.104,0.043,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.559,60.069,,95.145
0.677,1.706,60.988,-0.864,0.093,0.055,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.706,59.912,,94.988
0.696,1.736,61.017,-0.855,0.098,0.048,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.736,59.941,,95.017
0.618,1.579,60.929,-0.869,0.112,0.047,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.579,59.853,,94.929
0.667,1.442,60.9,-0.86,0.098,0.045,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.442,59.824,,94.9
0.686,1.569,61.429,-0.861,0.105,0.037,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.569,60.353,,95.429
0.686,1.638,61.468,-0.857,0.102,0.032,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.638,60.392,,95.468
0.598,1.589,61.312,-0.855,0.106,0.032,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.589,60.236,,95.312
0.598,1.412,61.096,-0.863,0.106,0.044,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.412,60.02,,95.096
0.549,1.618,61.292,-0.856,0.104,0.039,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.618,60.216,,95.292
0.51,1.579,61.174,-0.858,0.106,0.044,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.579,60.098,,95.174
0.549,1.54,60.782,-0.854,0.11,0.051,    ,848.704,-64.74,330.727,-177.916,-0.741,179.013,,-178,1.54,59.706,,94.782
0.637,1.618,60.782,-0.843,0.108,0.035,    ,848.704,-64.74,330.727,-177.917,-0.741,179.013,,-178,1.618,59.706,,94.782
0.99,1.236,62.135,-0.818,0.048,0.076,    ,848.701,-64.74,330.724,-178.076,-0.744,179.015,,-178,1.236,61.059,,96.135
0.765,1.383,61.919,-0.676,0.086,-0.129,    ,848.703,-64.74,330.727,-178.518,-0.751,179.021,,-179,1.383,60.843,,95.919
0.549,0.628,62.155,-0.821,0.123,0.039,    ,848.704,-64.74,330.727,-178.536,-0.752,179.021,,-179,0.628,61.079,,96.155
0.99,1.187,62.047,-0.803,0.09,0.037,    ,848.701,-64.74,330.723,-178.69,-0.755,179.023,,-179,1.187,60.971,,96.047
0.412,-0.226,62.832,-0.808,0.157,-0.028,    ,848.689,-64.74,330.706,-179.586,-0.773,179.035,,-180,0.226,61.756,,96.832
0.53,-1.334,60.89,-0.782,0.107,0.07,    ,848.689,-64.739,330.706,179.241,-0.792,179.051,,179,1.334,59.814,,94.89
0.275,-2.569,62.606,-0.723,0.178,0.074,    ,848.689,-64.739,330.706,178.044,-0.812,179.068,,178,2.569,61.53,,96.606
0.863,-4.197,61.047,-0.578,0.109,0.29,    ,848.69,-64.739,330.706,176.954,-0.83,179.084,,177,4.197,59.971,,95.047
0.235,-4.776,60.919,-0.632,0.081,0.287,    ,848.69,-64.738,330.706,175.736,-0.849,179.101,,176,4.776,59.843,,94.919
0.53,-6.149,61.89,-0.573,0.104,0.326,    ,848.69,-64.738,330.706,174.539,-0.868,179.119,,175,6.149,60.814,,95.89
0.5,-7.551,62.106,-0.516,0.089,0.338,    ,848.69,-64.737,330.706,173.449,-0.884,179.136,,173,7.551,61.03,,96.106
0.186,-8.14,60.36,-0.342,0.097,0.33,    ,848.69,-64.737,330.706,172.337,-0.901,179.153,,172,8.14,59.284,,94.36
-0.059,-8.953,60.89,-0.272,0.144,0.279,    ,848.69,-64.737,330.706,171.76,-0.909,179.162,,172,8.953,59.814,,94.89
0,-11.336,61.253,-0.231,0.11,0.331,    ,848.69,-64.737,330.706,170.542,-0.927,179.182,,171,11.336,60.177,,95.253
0.324,-11.101,59.595,-0.177,0.105,0.448,    ,848.69,-64.736,330.706,169.43,-0.942,179.2,,169,11.101,58.519,,93.595
0.373,-12.651,60.478,-0.207,0.048,0.534,    ,848.69,-64.736,330.707,168.233,-0.959,179.22,,168,12.651,59.402,,94.478
0.422,-14.553,59.919,-0.08,0.098,0.522,    ,848.691,-64.735,330.707,167.036,-0.975,179.24,,167,14.553,58.843,,93.919
0.324,-15.632,58.889,0.038,0.053,0.569,    ,848.691,-64.735,330.707,165.967,-0.989,179.258,,166,15.632,57.813,,92.889
-0.039,-16.622,59.546,0.048,0.061,0.543,    ,848.691,-64.735,330.707,164.77,-1.004,179.279,,165,16.622,58.47,,93.546
-0.402,-18.044,59.095,0.134,0.074,0.591,    ,848.691,-64.734,330.707,163.552,-1.019,179.3,,164,18.044,58.019,,93.095
0,-19.074,57.34,0.205,0.022,0.741,    ,848.691,-64.734,330.707,162.376,-1.034,179.321,,162,19.074,56.264,,91.34
0.177,-19.339,56.555,0.313,0.011,0.799,    ,848.691,-64.733,330.707,161.286,-1.046,179.341,,161,19.339,55.479,,90.555
0.059,-20.565,58.781,0.323,0.121,0.609,    ,848.692,-64.733,330.707,160.067,-1.06,179.364,,160,20.565,57.705,,92.781
0.265,-21.781,56.742,0.411,0.013,0.814,    ,848.692,-64.733,330.707,159.447,-1.067,179.375,,159,21.781,55.666,,90.742
-0.824,-23.006,56.418,0.548,-0.036,0.775,    ,848.692,-64.733,330.707,158.272,-1.079,179.397,,158,23.006,55.342,,90.418
-0.637,-23.556,56.261,0.623,-0.043,0.795,    ,848.692,-64.732,330.708,157.053,-1.092,179.42,,157,23.556,55.185,,90.261
-0.647,-25.125,55.065,0.721,-0.035,0.889,    ,848.692,-64.732,330.708,155.856,-1.104,179.443,,156,25.125,53.989,,89.065
-0.363,-25.948,54.751,0.748,-0.019,0.882,    ,848.693,-64.732,330.708,154.637,-1.115,179.467,,155,25.948,53.675,,88.751
0.039,-27.341,54.457,0.8,-0.025,0.934,    ,848.693,-64.731,330.708,153.44,-1.126,179.49,,153,27.341,53.381,,88.457
-0.961,-27.645,55.732,0.726,0.037,0.894,    ,848.693,-64.731,330.708,152.371,-1.136,179.511,,152,27.645,54.656,,89.732
-0.235,-29.175,53.564,0.978,-0.084,1.006,    ,848.693,-64.731,330.708,151.174,-1.146,179.535,,151,29.175,52.488,,87.564
-0.157,-30.322,52.799,1.006,-0.061,0.995,    ,848.693,-64.73,330.709,150.575,-1.15,179.547,,151,30.322,51.723,,86.799
-1.108,-31.695,53.143,1.082,-0.03,0.957,    ,848.694,-64.73,330.709,149.229,-1.161,179.574,,149,31.695,52.067,,87.143
-0.078,-32.411,52.034,1.239,-0.128,1.044,    ,848.694,-64.73,330.709,148.01,-1.169,179.599,,148,32.411,50.958,,86.034
-0.745,-33.598,51.417,1.219,-0.013,1,    ,848.694,-64.73,330.709,147.005,-1.176,179.619,,147,33.598,50.341,,85.417
