Fy_noload,Fy_hand,Fy_handTool
-0.245,2.216,2.187
-0.226,2.108,2.05
-0.108,2.265,2.256
-0.226,2.305,2.148
-0.294,2.236,2.187
-0.118,2.354,2.157
-0.069,2.275,2.108
-0.069,2.275,2.167
-0.206,2.265,2.226
-0.186,2.275,2.373
-0.088,2.295,2.03
0.02,2.393,2.03
-0.235,2.079,2.157
-0.127,2.236,1.971
-0.01,2.295,2.226
-0.108,2.128,2.177
-0.157,2.412,2.148
-0.167,2.305,2.02
-0.02,2.206,2.187
-0.177,2.265,2.099
-0.02,2.295,2.128
0.088,2.246,2.314
-0.324,2.295,2.246
-0.02,2.226,2.079
-0.186,2.324,2.079
-0.118,2.295,1.961
-0.118,2.354,2.206
-0.069,2.256,2.295
-0.078,2.138,2.285
-0.157,2.206,2.236
0.01,2.295,2.03
-0.078,2.256,2.079
-0.206,2.108,2.177
-0.157,2.256,2.256
-0.127,2.138,2.177
-0.363,2.148,2.324
-0.049,2.324,2.305
-0.029,2.432,2.206
-0.177,2.295,2.246
-0.069,2.275,2.157
-0.098,2.265,2.216
-0.137,2.265,2.187
-0.029,2.354,2.256
-0.167,2.246,2.275
-0.245,2.236,2.157
-0.226,2.177,2.157
-0.108,2.206,2.148
0.049,2.295,2.157
-0.01,2.069,2.069
-0.059,2.246,1.961
-0.059,2.265,2.236
-0.216,2.206,2.108
-0.069,2.314,2.305
-0.069,2.148,2.099
-0.186,2.265,2.305
-0.108,2.265,2.128
-0.137,2.305,2.197
-0.108,2.099,2.01
-0.196,2.177,2.108
-0.167,2.295,2.295
-0.098,2.138,2.187
-0.02,2.275,2.197
0.078,2.197,2.089
-0.226,2.314,2.295
-0.196,2.373,2.177
-0.196,2.236,2.226
-0.118,2.177,2.275
-0.02,2.226,2.187
-0.167,2.148,2.246
-0.226,2.265,2.128
-0.098,2.246,2.157
-0.294,2.275,2.001
-0.069,2.236,2.001
-0.294,2.285,2.108
-0.108,2.02,2.285
-0.137,2.226,1.971
-0.186,2.246,2.069
-0.333,2.187,2.157
-0.216,2.187,2.187
-0.235,2.265,2.099
-0.235,2.206,2.275
-0.177,2.324,2.059
-0.177,2.167,2.177
-0.216,2.099,2.099
-0.216,2.079,2.079
-0.078,2.363,2.138
-0.088,2.206,1.971
0,2.363,2.02
-0.294,2.51,2.206
0.029,2.55,1.991
-0.216,2.658,2.216
-0.157,2.687,2.197
-0.098,2.805,2.04
-0.137,2.687,2.256
-0.245,2.834,2.216
-0.216,2.775,2.157
-0.098,2.059,2.108
-0.216,2.726,2.177
-0.235,2.687,2.089
0.01,2.775,2.089
-0.039,3.707,2.206
-0.216,3.736,1.942
-0.098,3.883,2.226
-0.157,4.168,2.216
-0.137,4.187,2.059
-0.137,4.07,2.118
-0.304,4.099,2.295
-0.049,4.168,2.108
-0.167,4.089,2.118
-0.167,3.883,2.108
-0.432,4.099,2.05
-0.245,3.932,2.05
-0.275,4.021,2.099
-0.069,4.04,2.187
-0.216,4.119,2.138
-0.324,3.981,2.148
-0.108,3.981,2.069
-0.157,4.256,2.157
-0.324,4.06,2.216
-0.127,4.089,2.197
0.029,4.08,2.108
-0.147,4.099,2.314
-0.245,4.325,2.001
-0.226,4.021,2.079
-0.098,3.795,1.991
-0.157,4.021,2.197
-0.265,4.256,2.177
-0.333,4.854,1.971
-0.265,4.678,2.05
-0.294,4.815,2.138
-0.265,4.766,2.05
-0.284,4.335,1.991
-0.324,4.815,2.079
-0.265,4.364,2.138
-0.059,4.04,2.246
-0.245,4.786,2.069
-0.157,4.384,2.089
-0.206,4.56,2.059
-0.088,4.393,2.079
-0.118,4.501,2.128
-0.127,4.246,2.01
-0.216,4.344,2.226
-0.255,4.295,2.177
-0.059,4.374,2.246
-0.167,4.472,2.099
-0.186,4.236,2.089
-0.108,4.315,2.373
-0.235,4.256,2.177
-0.167,4.374,1.961
-0.078,4.501,2.089
-0.108,4.393,2.118
-0.333,5.423,2.089
-0.049,5.472,2.01
-0.314,3.972,2.157
-0.353,5.374,2.128
-0.324,4.511,2.177
-0.147,4.442,2.197
-0.02,4.619,2.079
-0.186,4.678,2.03
-0.235,4.825,2.02
-0.196,4.56,2.187
-0.049,4.393,2.187
-0.206,4.403,2.157
-0.157,4.403,2.148
-0.069,4.521,2.079
-0.324,4.462,2.197
-0.245,4.433,2.04
-0.098,4.54,2.148
-0.127,4.335,2.285
-0.177,4.688,2.079
-0.226,4.511,2.069
-0.265,4.511,2.157
-0.363,4.491,2.246
-0.284,4.305,2.157
-0.294,4.58,2.099
-0.088,4.56,2.167
-0.177,4.56,2.059
-0.157,4.374,2.167
-0.255,4.384,2.226
-0.196,4.246,2.256
-0.206,4.276,2.04
-0.255,4.374,2.099
-0.147,4.354,2.197
-0.235,4.305,2.206
-0.284,4.246,2.079
-0.088,4.129,2.138
-0.137,4.256,2.187
-0.059,4.325,2.226
-0.157,4.335,2.108
-0.245,4.266,2.167
-0.049,4.442,2.216
-0.245,4.511,2.128
-0.069,4.678,2.108
-0.069,4.658,2.128
-0.029,4.452,2.157
0.029,4.56,2.099
-0.304,4.531,2.138
-0.226,4.57,2.079
-0.088,3.55,2.079
-0.137,2.864,2.089
-0.245,2.932,2.03
-0.157,2.648,2.187
-0.177,3.079,2.157
-0.147,2.922,2.128
-0.177,2.903,2.206
-0.069,2.648,2.02
-0.265,2.824,2.118
-0.216,2.834,2.099
-0.324,2.864,2.148
-0.177,2.775,2.138
-0.147,2.805,2.03
-0.157,3.05,2.216
-0.177,2.756,2.108
-0.069,2.834,2.04
-0.206,2.815,2.246
0,2.824,2.03
-0.029,2.707,2.099
-0.235,2.716,2.02
-0.127,2.707,2.089
-0.147,2.913,2.01
-0.284,3.011,2.157
-0.118,2.864,2.197
-0.02,2.756,2.354
-0.304,2.854,2.089
-0.157,2.844,2.03
-0.304,2.883,2.069
-0.069,2.824,2.177
-0.245,2.442,2.02
-0.088,2.501,2.059
-0.245,2.579,2.059
-0.206,2.393,1.883
-0.314,2.461,2.089
-0.294,2.51,2.148
-0.078,2.452,2.108
-0.284,2.373,2.157
-0.029,2.481,2.157
-0.294,2.344,2.157
-0.118,2.354,2.04
-0.039,2.452,2.148
-0.059,2.324,2.079
-0.186,2.403,2.02
-0.098,2.56,1.981
-0.412,2.403,2.128
-0.196,2.216,2.059
-0.235,2.236,2.197
-0.118,2.275,1.863
-0.206,2.452,1.912
-0.049,2.305,2.108
-0.186,2.344,2.01
-0.216,2.256,2.256
-0.255,2.265,1.932
-0.157,2.118,2.167
-0.186,2.118,1.902
-0.059,2.167,2.177
-0.177,2.108,2.138
-0.275,2.295,2.069
-0.373,2.187,1.893
-0.127,2.265,1.912
-0.226,2.05,2.099
-0.235,2.148,2.138
-0.049,2.079,2.089
-0.108,2.148,2.157
-0.245,2.295,2.128
-0.059,2.246,2.089
-0.157,2.206,2.206
-0.177,2.295,2.099
0,2.246,2.089
-0.333,2.305,2.187
-0.255,2.128,2.118
0.069,2.265,2.04
-0.275,2.265,2.02
-0.294,2.157,2.069
-0.206,2.148,2.05
-0.216,2.069,2.079
-0.147,2.354,1.961
-0.059,2.432,2.128
-0.226,2.206,1.952
-0.353,2.265,1.991
-0.304,2.403,2.099
-0.108,2.314,1.942
-0.294,2.295,2.059
-0.206,2.187,1.981
-0.216,2.295,2.089
0.01,2.216,2.01
-0.245,2.285,2.138
-0.353,2.099,2.059
-0.294,2.246,2.069
-0.216,2.324,2.099
-0.304,2.157,2.157
-0.284,2.197,2.02
-0.127,2.226,2.001
-0.255,2.285,2.03
0.049,2.197,2.108
-0.196,2.167,2.099
-0.324,2.177,2.099
-0.216,2.157,2.069
-0.088,2.069,2.177
-0.304,2.285,2.108
-0.275,2.197,2.128
