Fx,Fy,Fz,Mx,My,Mz,,Resultant of Fx and Fy
-2.687,-34.971,37.767,2.64,-0.092,-0.089,,18.829
-3.256,-35.029,37.954,2.661,-0.15,-0.115,,19.1425
-3.423,-35.48,37.826,2.696,-0.126,-0.124,,19.4515
-2.246,-34.853,37.797,2.628,-0.063,-0.07,,18.5495
-2.883,-35.373,38.003,2.696,-0.135,-0.092,,19.128
-3.227,-34.902,38.022,2.611,-0.185,-0.102,,19.0645
-2.53,-34.755,37.895,2.57,-0.121,-0.078,,18.6425
-2.726,-35.176,37.797,2.642,-0.177,-0.096,,18.951
-2.442,-35.637,38.13,2.672,-0.079,-0.088,,19.0395
-3.138,-35.324,37.885,2.625,-0.11,-0.108,,19.231
-2.707,-34.853,37.571,2.601,-0.09,-0.085,,18.78
-2.619,-35.176,37.885,2.63,-0.101,-0.096,,18.8975
-2.501,-34.951,37.581,2.625,-0.131,-0.078,,18.726
-3.07,-35.127,37.552,2.629,-0.078,-0.109,,19.0985
-2.981,-35.314,37.355,2.686,-0.138,-0.087,,19.1475
-3.511,-35.245,37.355,2.631,-0.103,-0.117,,19.378
-2.403,-35.108,37.208,2.641,-0.07,-0.075,,18.7555
-2.824,-35.206,37.375,2.637,-0.117,-0.099,,19.015
-2.932,-35.147,37.483,2.631,-0.129,-0.091,,19.0395
-3.03,-35.02,37.385,2.625,-0.159,-0.1,,19.025
-2.138,-35.069,37.346,2.692,-0.106,-0.064,,18.6035
-2.501,-34.716,37.346,2.627,-0.108,-0.079,,18.6085
-3.531,-34.971,37.816,2.642,-0.172,-0.096,,19.251
-3.011,-34.951,37.238,2.607,-0.124,-0.096,,18.981
-2.726,-34.578,36.787,2.598,-0.155,-0.076,,18.652
-1.746,-34.941,36.953,2.707,-0.084,-0.048,,18.3435
-3.305,-35.02,36.914,2.668,-0.163,-0.082,,19.1625
-2.628,-35.118,37.218,2.668,-0.071,-0.074,,18.873
-3.099,-35.108,36.806,2.65,-0.17,-0.073,,19.1035
-3.05,-34.931,37.12,2.655,-0.084,-0.095,,18.9905
-2.167,-34.99,36.855,2.675,-0.163,-0.053,,18.5785
-2.579,-35.333,36.914,2.726,-0.053,-0.08,,18.956
-3.07,-35.176,37.12,2.605,-0.105,-0.091,,19.123
-2.236,-34.647,36.983,2.591,-0.123,-0.061,,18.4415
-2.962,-34.912,36.914,2.628,-0.128,-0.061,,18.937
-2.854,-34.872,37.091,2.625,-0.18,-0.082,,18.863
-3.07,-35.039,37.365,2.608,-0.111,-0.094,,19.0545
-2.824,-34.667,33.462,2.611,-0.113,0.042,,18.7455
-2.324,-34.941,33.335,2.679,-0.112,0.065,,18.6325
-2.481,-34.863,33.305,2.686,-0.081,0.05,,18.672
-2.256,-34.794,33.933,2.689,-0.153,0.074,,18.525
-2.903,-34.872,35.728,2.613,-0.108,-0.049,,18.8875
-2.736,-34.971,35.208,2.746,-0.101,0.018,,18.8535
-1.442,-36.51,33.374,3.024,0.016,0.153,,18.976
-2.52,-39.658,34.296,5.051,0.228,0.044,,21.089
-1.687,-41.796,36.395,5.883,0.202,-0.001,,21.7415
-0.363,-50.406,37.552,7.966,0.82,0.038,,25.3845
0.304,-53.407,37.62,8,0.786,0.151,,26.5515
-2.364,-43.669,37.199,6.269,0.062,0.241,,23.0165
-7.198,-36.981,41.278,6.715,0.239,-0.095,,22.0895
-4.335,-34.431,40.17,5.794,-0.127,-0.019,,19.383
-7.698,-32.588,40.396,6.188,0.03,-0.272,,20.143
-0.795,-50.573,36.963,8.124,0.952,-0.024,,25.684
-1.304,-48.514,36.483,7.524,0.455,0.109,,24.909
-0.52,-43.698,35.443,6.582,0.33,0.163,,22.109
-6.61,-33.823,40.052,6.152,0.344,-0.195,,20.2165
-0.206,-42.826,37.12,5.047,-0.132,0.236,,21.516
-8.022,-33.097,40.366,6.273,0.221,-0.247,,20.5595
-3.403,-38.462,35.845,6.123,0.043,0.176,,20.9325
0.186,-43.051,37.375,5.369,0.083,0.144,,21.4325
0.99,-57.369,32.452,9.034,1.007,0.199,,28.1895
-1.736,-51.73,33.237,8.481,0.993,-0.081,,26.733
-6.227,-31.725,39.15,5.137,-0.102,-0.067,,18.976
-6.169,-38.864,41.268,6.75,0.194,-0.05,,22.5165
-2.57,-40.904,38.258,6.025,-0.018,0.098,,21.737
-0.186,-43.443,37.11,5.421,-0.139,0.176,,21.8145
0.049,-53.682,37.512,7.756,0.783,0.147,,26.8165
-4.698,-40.315,41.062,6.842,0.273,0.023,,22.5065
-5.776,-33.294,40.474,5.794,-0.062,-0.075,,19.535
2.314,-57.918,35.051,9.642,1.422,-0.066,,27.802
-4.933,-42.767,42.18,6.985,0.431,-0.106,,23.85
0.922,-53.77,37.414,8.368,1.063,-0.031,,26.424
1.794,-54.211,39.003,8.034,0.861,0.021,,26.2085
4.168,-58.536,39.15,8.763,1.387,0.019,,27.184
4.874,-61.792,35.963,9.754,1.432,0.043,,28.459
-4.688,-33.588,42.455,5.272,-0.434,-0.088,,19.138
-2.952,-39.942,42.631,4.24,-0.417,-0.063,,21.447
1.304,-59.154,32.982,7.587,0.534,0.271,,28.925
-10.67,-52.593,38.679,7.557,-0.561,-0.243,,31.6315
-14.534,-32.715,36.267,6.02,-1.656,-0.297,,23.6245
-26.655,-44.238,34.374,7.481,-2.891,-0.669,,35.4465
-23.526,-35.559,37.542,5.745,-3.031,-0.511,,29.5425
-27.331,-34.098,42.504,5.941,-3.216,-0.54,,30.7145
-32.009,-39.893,37.228,6.303,-3.459,-0.849,,35.951
-34.039,-41.796,35.198,7.17,-3.612,-0.873,,37.9175
-23.87,-31.499,37.64,5.557,-3.092,-0.495,,27.6845
-24.507,-31.352,39.788,4.963,-2.981,-0.532,,27.9295
-31.048,-34.323,37.012,5.628,-3.221,-0.87,,32.6855
-25.958,-33.843,40.386,4.113,-2.535,-0.626,,29.9005
-30.822,-34.078,37.346,5.689,-3.174,-0.838,,32.45
-28.361,-33.941,40.356,6.162,-3.3,-0.723,,31.151
-25.292,-30.195,41.572,5.492,-3.024,-0.681,,27.7435
-24.556,-31.038,40.552,5.299,-3.198,-0.547,,27.797
-28.792,-34.108,36.434,5.467,-3.326,-0.704,,31.45
-31.597,-34.774,37.964,5.739,-3.215,-0.874,,33.1855
-35.461,-49.71,35.649,6.315,-3.439,-0.954,,42.5855
-22.938,-30.93,36.404,5.799,-3.196,-0.438,,26.934
-33.392,-39.854,38.464,6.098,-3.393,-0.928,,36.623
-24.036,-32.225,40.66,5.822,-3.037,-0.633,,28.1305
-24.674,-31.793,41.847,5.897,-3.086,-0.641,,28.2335
-32.352,-39.825,36.846,6.265,-3.474,-0.887,,36.0885
-29.018,-32.872,36.806,5.67,-3.413,-0.732,,30.945
-33.117,-42.012,39.601,6.083,-3.344,-0.928,,37.5645
-23.605,-31.136,39.974,5.57,-3.215,-0.488,,27.3705
-25.792,-31.558,44.612,3.721,-2.693,-0.772,,28.675
-25.066,-37.677,40.631,5.89,-3.292,-0.634,,31.3715
-31.323,-37.873,40.798,6.217,-3.328,-0.934,,34.598
-31.793,-45.258,41.876,6.537,-3.384,-1.047,,38.5255
-29.695,-40.864,42.798,6.607,-3.414,-0.891,,35.2795
-32.009,-36.873,39.601,6.126,-3.549,-0.944,,34.441
-26.88,-33.529,42.739,3.9,-2.72,-0.831,,30.2045
-33.745,-45.189,40.621,6.642,-3.466,-1.05,,39.467
-33.784,-41.266,37.336,7.096,-3.719,-0.912,,37.525
-33.451,-37.746,35.002,6.462,-3.622,-0.804,,35.5985
-39.952,-45.013,38.601,5.618,-3.944,-1.26,,42.4825
-38.423,-27.831,39.209,4.549,-4.279,-1.162,,33.127
-32.205,-23.722,39.582,4.223,-4.419,-0.736,,27.9635
-49.318,-26.203,37.807,4.848,-5.735,-1.294,,37.7605
-53.446,-32.342,40.288,4.171,-5.237,-1.828,,42.894
-38.276,-24.291,37.444,3.929,-5.076,-1.041,,31.2835
-40.835,-23.016,42.337,4.018,-5.045,-1.189,,31.9255
-39.05,-22.222,39.984,2.595,-4.09,-1.261,,30.636
-48.023,-25.899,41.366,3.831,-5.209,-1.536,,36.961
-36.285,-21.182,41.308,3.531,-4.811,-1,,28.7335
-34.529,-20.888,39.052,3.445,-4.438,-0.847,,27.7085
-39.031,-25.791,37.277,3.875,-5.084,-1.025,,32.411
-43.473,-20.349,38.797,3.677,-5.213,-1.161,,31.911
-43.404,-20.28,38.14,3.741,-5.037,-1.325,,31.842
-37.383,-20.663,39.807,3.376,-4.662,-1.002,,29.023
-39.658,-22.34,41.229,2.584,-3.995,-1.259,,30.999
-36.157,-22.82,37.395,3.79,-4.931,-0.92,,29.4885
-48.023,-24.409,40.523,3.875,-5.301,-1.443,,36.216
-39.492,-22.085,39.778,3.366,-4.536,-1.104,,30.7885
-36.648,-22.32,40.974,3.999,-4.986,-1.001,,29.484
-44.081,-20.182,38.562,3.719,-5.13,-1.285,,32.1315
-38.481,-22.369,41.298,3.932,-5.25,-1.099,,30.425
-44.11,-25.595,40.425,4.094,-5.409,-1.317,,34.8525
-45.179,-25.262,40.788,3.997,-5.255,-1.347,,35.2205
-42.326,-19.849,37.836,3.437,-4.996,-1.126,,31.0875
-38.109,-22.447,43.534,3.801,-5.163,-1.04,,30.278
-37.981,-20.123,42.828,2.151,-3.882,-1.314,,29.052
-38.795,-21.486,43.338,2.014,-3.78,-1.451,,30.1405
-49.739,-28.027,43.298,3.986,-5.271,-1.695,,38.883
-36.746,-19.898,45.005,3.605,-4.834,-1.125,,28.322
-40.982,-25.036,43.426,4.334,-5.253,-1.227,,33.009
-43.218,-21.025,41.504,3.543,-4.916,-1.412,,32.1215
-39.678,-24.595,44.269,4.408,-5.322,-1.205,,32.1365
-50.279,-26.851,43.495,3.883,-5.255,-1.74,,38.565
-49.367,-27.312,42.877,3.987,-5.267,-1.699,,38.3395
-53.956,-29.508,36.1,4.581,-5.654,-1.656,,41.732
-50.848,-20.565,39.297,4.069,-6.115,-1.421,,35.7065
-43.297,-11.582,41.259,1.684,-4.62,-1.347,,27.4395
-52.132,-8.914,43.063,1.532,-5.562,-1.864,,30.523
-43.267,0.059,44.21,0.188,-5.565,-1.511,,21.604
-52.554,3.717,42.573,-0.137,-5.731,-2.103,,24.4185
-44.287,9.277,40.651,-0.902,-5.069,-1.908,,17.505
-51.054,8.963,42.396,-0.862,-5.617,-2.088,,21.0455
-51.642,11.131,39.15,-0.854,-6.537,-1.746,,20.2555
-47.366,9.414,38.415,-1.116,-5.737,-1.626,,18.976
-44.787,12.033,33.943,-1.047,-6.168,-1.389,,16.377
-53.564,10.728,36.002,-0.722,-6.501,-1.823,,21.418
-50.004,12.003,35.669,-1.021,-6.64,-1.532,,19.0005
-42.581,7.178,35.071,-0.851,-5.924,-1.381,,17.7015
-54.437,10.405,40.062,-1.032,-5.605,-2.243,,22.016
-41.796,7.316,35.061,-0.925,-5.897,-1.341,,17.24
-42.59,9.454,37.483,-1.256,-4.058,-1.809,,16.568
-39.903,8.444,38.179,-1.108,-5.83,-1.305,,15.7295
-42.198,10.052,35.855,-1.22,-4.045,-1.731,,16.073
-40.874,9.522,38.16,-1.136,-5.426,-1.354,,15.676
-44.414,8.355,37.307,-0.857,-6.006,-1.511,,18.0295
-42.404,10.248,37.561,-1.275,-5.123,-1.512,,16.078
-42.639,7.669,38.111,-0.96,-5.893,-1.494,,17.485
-40.423,8.728,35.316,-1.219,-4.823,-1.409,,15.8475
-47.484,8.11,36.806,-0.825,-5.909,-1.679,,19.687
-45.68,8.806,37.708,-0.948,-5.748,-1.603,,18.437
-50.485,7.512,34.374,-0.925,-5.771,-1.821,,21.4865
-42.296,10.915,35.63,-1.11,-5.273,-1.499,,15.6905
-42.296,9.561,34.845,-1.241,-4.391,-1.626,,16.3675
-53.084,10.395,38.474,-0.942,-6.414,-1.917,,21.3445
-39.688,9.159,41.298,-1.181,-5.079,-1.582,,15.2645
-49.592,11.327,38.042,-0.926,-6.619,-1.643,,19.1325
-44.552,12.062,35.924,-0.966,-5.712,-1.562,,16.245
-40.678,9.718,35.943,-1.015,-4.935,-1.467,,15.48
-41.943,11.395,39.827,-1.243,-4.634,-1.777,,15.274
-43.149,9.179,40.248,-1.118,-4.69,-1.741,,16.985
-40.041,8.757,38.621,-1.188,-5.295,-1.336,,15.642
-48.533,8.797,40.503,-0.823,-6.018,-1.827,,19.868
-41.482,10.277,36.149,-1.174,-5.32,-1.422,,15.6025
-45.101,2.01,37.208,-0.462,-4.245,-1.748,,21.5455
-41.453,-7.355,32.109,1.433,-5.726,-0.959,,24.404
-41.571,-15.465,36.865,2.05,-4.362,-1.104,,28.518
