Robot Trajectory File V2.0

X,Y,Z,W,P,R,C1,C3,C4,C5,C6,C7 
-856.122,426.570,-316.916,-179.854,59.684,63.662,0,1,1,0,0,1
-856.122,426.570,-316.916,-179.854,59.684,63.662,0,1,1,0,0,1
-856.122,426.570,-316.916,-179.854,59.684,63.662,0,1,1,0,0,1
-856.122,426.570,-316.916,-179.854,59.684,63.662,0,1,1,0,0,1
-856.122,426.570,-316.916,-179.854,59.684,63.662,0,1,1,0,0,1
-856.122,426.570,-316.916,-179.854,59.684,63.662,0,1,1,0,0,1
-856.122,426.570,-316.916,-179.854,59.684,63.662,0,1,1,0,0,1
-856.122,426.570,-316.916,-179.854,59.684,63.662,0,1,1,0,0,1
-856.122,426.570,-316.916,-179.854,59.684,63.662,0,1,1,0,0,1
-856.122,426.570,-316.916,-179.854,59.684,63.662,0,1,1,0,0,1
-856.122,426.570,-316.916,-179.854,59.684,63.662,0,1,1,0,0,1
