Robot Trajectory File V2.0

X,Y,Z,W,P,R,C1,C3,C4,C5,C6,C7 
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0
