X,Y,Z,W,P,R,C1,C3,C4,C5,C6,C7 
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1024.076,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1027.885,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1036.64,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1049.438,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1059.036,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1068.634,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1081.032,-203.241,-50.03,-180,0,0,0,1,1,0,0,0
1091.03,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1100.629,-203.241,-50.03,-180,0,0,0,1,1,0,0,0
1110.227,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1122.625,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1132.623,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1142.621,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1155.419,-203.241,-50.03,-180,0,0,0,1,1,0,0,0
1165.017,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1174.616,-203.241,-50.03,-180,0,0,0,1,1,0,0,0
1187.413,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1196.536,-203.717,-50.03,180,0,0,0,1,1,0,0,0
1201.335,-208.517,-50.03,180,0,0,0,1,1,0,0,0
1201.811,-217.641,-50.03,180,0,0,0,1,1,0,0,0
1201.811,-230.441,-50.03,180,0,0,0,1,1,0,0,0
1201.811,-240.041,-50.03,180,0,0,0,1,1,0,0,0
1201.811,-249.241,-50.03,-180,0,0,0,1,1,0,0,0
1201.811,-262.041,-50.03,-180,0,0,0,1,1,0,0,0
1201.811,-271.241,-50.03,180,0,0,0,1,1,0,0,0
1201.811,-280.841,-50.03,180,0,0,0,1,1,0,0,0
1201.811,-293.641,-50.03,180,0,0,0,1,1,0,0,0
1201.811,-303.241,-50.03,180,0,0,0,1,1,0,0,0
1201.811,-312.841,-50.03,180,0,0,0,1,1,0,0,0
1201.811,-325.641,-50.03,-180,0,0,0,1,1,0,0,0
1201.811,-335.241,-50.03,-180,0,0,0,1,1,0,0,0
1201.811,-344.841,-50.03,-180,0,0,0,1,1,0,0,0
1201.811,-354.441,-50.03,-180,0,0,0,1,1,0,0,0
1201.811,-367.641,-50.03,-180,0,0,0,1,1,0,0,0
1201.577,-376.607,-50.03,180,0,0,0,1,1,0,0,0
1197.472,-382.502,-50.03,180,0,0,0,1,1,0,0,0
1185.411,-383.241,-50.03,180,0,0,0,1,1,0,0,0
1175.811,-383.241,-50.03,180,0,0,0,1,1,0,0,0
1166.211,-383.241,-50.03,180,0,0,0,1,1,0,0,0
1156.611,-383.241,-50.03,180,0,0,0,1,1,0,0,0
1143.812,-383.241,-50.03,180,0,0,0,1,1,0,0,0
1134.612,-383.241,-50.03,180,0,0,0,1,1,0,0,0
1124.611,-383.241,-50.03,180,0,0,0,1,1,0,0,0
1111.812,-383.241,-50.03,180,0,0,0,1,1,0,0,0
1101.812,-383.241,-50.03,180,0,0,0,1,1,0,0,0
1092.212,-383.241,-50.03,180,0,0,0,1,1,0,0,0
1079.412,-383.241,-50.03,180,0,0,0,1,1,0,0,0
1070.212,-383.241,-50.03,-180,0,0,0,1,1,0,0,0
1060.212,-383.241,-50.03,180,0,0,0,1,1,0,0,0
1047.812,-383.241,-50.03,-180,0,0,0,1,1,0,0,0
1038.212,-383.241,-50.03,180,0,0,0,1,1,0,0,0
1029.165,-383.089,-50.03,180,0,0,0,1,1,0,0,0
1023.031,-380.022,-50.03,180,0,0,0,1,1,0,0,0
1021.812,-368.041,-50.03,180,0,0,0,1,1,0,0,0
1021.812,-358.441,-50.03,180,0,0,0,1,1,0,0,0
1021.812,-348.841,-50.03,180,0,0,0,1,1,0,0,0
1021.812,-336.041,-50.03,180,0,0,0,1,1,0,0,0
1021.812,-326.441,-50.03,180,0,0,0,1,1,0,0,0
1021.812,-316.441,-50.03,-180,0,0,0,1,1,0,0,0
1021.812,-303.641,-50.03,180,0,0,0,1,1,0,0,0
1021.812,-293.641,-50.03,180,0,0,0,1,1,0,0,0
1021.812,-287.241,-50.03,-180,0,0,0,1,1,0,0,0
1021.812,-278.041,-50.03,-180,0,0,0,1,1,0,0,0
1021.812,-260.841,-50.03,180,0,0,0,1,1,0,0,0
1021.812,-251.641,-50.03,-180,0,0,0,1,1,0,0,0
1021.812,-241.641,-50.03,180,0,0,0,1,1,0,0,0
1021.812,-228.441,-50.03,180,0,0,0,1,1,0,0,0
1021.812,-218.441,-50.03,180,0,0,0,1,1,0,0,0
1022.249,-207.285,-50.03,-180,0,0,0,1,1,0,0,0
1022.249,-207.285,-50.03,-180,0,0,0,1,1,0,0,0
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
1023.843,-203.241,-50.03,180,0,0,0,1,1,0,0,0
