Fx,Fy,Fz,Mx,My,Mz, ,X,Y,Z,W,P,R
7.492,5.688,39.259,0.365,-0.469,-0.606,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.492,5.688,39.259,0.365,-0.469,-0.606,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.492,5.688,39.259,0.365,-0.469,-0.606,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.492,5.688,39.259,0.365,-0.469,-0.606,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.786,5.668,39.083,0.359,-0.479,-0.598,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.659,5.943,38.896,0.374,-0.468,-0.591,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.561,6.021,38.848,0.379,-0.459,-0.597,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.62,5.904,38.798,0.373,-0.469,-0.599,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.561,5.805,38.808,0.367,-0.472,-0.599,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.6,5.982,38.916,0.372,-0.469,-0.597,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.63,5.845,39.171,0.368,-0.47,-0.6,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.62,5.786,38.926,0.374,-0.48,-0.592,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.551,5.845,39.053,0.366,-0.473,-0.596,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.6,5.805,38.995,0.372,-0.469,-0.593,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.551,5.756,39.093,0.359,-0.465,-0.599,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.649,5.805,39.093,0.362,-0.47,-0.6,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.522,5.904,39.132,0.364,-0.465,-0.595,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.541,5.904,39.034,0.374,-0.469,-0.597,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.737,5.913,38.779,0.377,-0.479,-0.593,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.718,5.805,38.985,0.361,-0.469,-0.596,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.59,5.786,39.063,0.373,-0.471,-0.599,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.698,5.845,39.181,0.364,-0.482,-0.589,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.62,5.776,38.916,0.371,-0.479,-0.6,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.6,5.815,39.053,0.368,-0.47,-0.598,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.728,5.943,39.191,0.358,-0.457,-0.6,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.62,5.786,39.053,0.372,-0.471,-0.6,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.6,5.825,39.024,0.361,-0.478,-0.598,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.571,6.06,38.946,0.38,-0.477,-0.606,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.63,5.805,39.132,0.371,-0.464,-0.592,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.659,5.913,38.946,0.361,-0.47,-0.601,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.6,6.031,39.191,0.371,-0.468,-0.601,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.679,5.943,39.034,0.372,-0.48,-0.593,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.688,5.737,39.328,0.356,-0.473,-0.597,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.649,5.825,39.044,0.374,-0.48,-0.594,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.679,5.894,39.191,0.366,-0.465,-0.6,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.61,5.727,39.142,0.37,-0.466,-0.6,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.63,5.923,39.103,0.372,-0.472,-0.592,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.581,5.815,39.112,0.362,-0.469,-0.599,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.679,5.805,39.063,0.364,-0.469,-0.597,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.639,5.825,38.769,0.36,-0.465,-0.591,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.522,5.884,38.691,0.365,-0.464,-0.593,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.669,5.884,38.995,0.371,-0.473,-0.598,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.679,5.855,38.838,0.365,-0.476,-0.598,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.561,5.855,39.357,0.363,-0.468,-0.597,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.375,5.864,38.72,0.371,-0.449,-0.595,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.59,5.796,38.642,0.364,-0.482,-0.591,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.61,5.953,39.25,0.369,-0.47,-0.599,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.737,5.864,38.916,0.359,-0.463,-0.592,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.512,6.002,39.004,0.372,-0.467,-0.596,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.561,5.953,38.896,0.374,-0.479,-0.586,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
7.512,5.904,38.612,0.366,-0.461,-0.593,    ,848.706,-64.736,330.727,-178.177,-0.745,179.016
